InfTyp,0,4
DatOfMes,4,19
Sep1,19,21
AirDes,21,24
FliNum,24,29
OpeSuf,29,30
DatOfOriUtc,30,39
DepAirIat,39,44
DesAirIat,44,49
DepAirIca,49,53
DesAirIca,53,57
DepRun,57,60
ArrRun,60,63
RegOrAirFinNum,63,72
AirRadCalSig,72,76
IatAirTyp,76,79
Sep2,79,81
FliDupNo,81,83
Sep3,83,85
StdUtcOff,85,98
EtaUtcStaUtcInCasOfIniMes,98,111
Sep4,111,113
TakAltIat,113,118
TakAltIca,118,122
NoOfAlt,122,123
FirstAltIat,123,128
FirstAltIca,128,132
SecondAltIat,132,137
SecondAltIca,137,141
ThirdAltIat,141,146
ThirdAltIca,146,150
FourthAltIat,150,155
FourthAltIca,155,159
AirIcaCod,159,163
RelInd,163,164
SceNum,164,167
OfpNum,167,170
RclNum,170,172
EtoInd,172,173
Sep5,173,174
AtcCal,174,183
UniOfMea,183,184
TriDisInNmAir,184,189
TriDisInNmGro,189,194
GreCirDisInNm,194,199
AveWinComInKts,199,203
TaxFueOut,203,207
TaxFueIn,207,211
TriFue,211,217
BloFue,217,223
PlaHolFue,223,229
AddFue1,229,235
ReaForAdd1,235,238
AddFue2,238,244
ReaForAdd2,244,247
AddFue3,247,253
ReaForAdd3,253,256
AddFue4,256,262
ReaForAdd4,262,265
ConFue,265,271
TanCap,271,277
MaxLanWei,277,283
PlaToWei,283,289
MaxToWei,289,295
MaxTaxWei,295,301
PlnZfw,301,307
MaxZfw,307,313
FueOveDes,313,319
EcoFue,319,325
SavInUsd,325,331
RouOptCri,331,341
TaxOutTimInMin,341,345
TaxInTimInMin,345,349
TriTimInMin,349,353
PlaBloTimInMin,353,357
EstTotFliTimTimOfPlnInMin,357,361
PlaHolTimInMin,361,365
ExtTim1TimOfAddInMin,365,369
ExtTim2TimOfAddInMin,369,373
ExtTim3TimOfAddInMin,373,377
ExtTim4TimOfAddInMin,377,381
ConTimTimForConFueInMin,381,385
Sep6,385,386
AirOpeIat,386,389
AirSpePro,389,397
CosIndEcoCru,397,401
PerCor100,401,405
ConCovIn,405,408
ConPer100,408,414
EnrFueAltEraIcaFor,414,418
NoEnrAltPer100,418,424
TriFueCorZfwPlu100Kg,424,429
TriFueCorZfwMin100Kg,429,434
TriFueOneFlBel,434,439
Gai,439,445
PreRouNam,445,455
PicNam,455,475
DisNam,475,505
DisRem,505,585
AltAtTopOfCli100FeeOr10tMet,585,589
AltAtTopOfdec100FeeOr10tMet,589,593
Sep7,593,603
FirstAltFliDisInNm,603,607
FirstAltFliTimInMin,607,611
FirstAltFue,611,616
SecondAltFliDisInNm,616,620
SecondAltFliTimInMin,620,624
SecondAltFue,624,629
ThirdAltFliDisInNm,629,633
ThirdAltFliTimInMin,633,637
ThirdAltFue,637,642
FourthAltFliDisInNm,642,646
FourthAltFliTimInMin,646,650
FourthAltFue,650,655
Sep8,655,665
Sid,665,672
SidExiPoi,672,677
SidDisInNm,677,680
Sta,680,687
StaEntPoi,687,692
StaDisInNm,692,695
NoOfWayOfMaiRouDepDes,695,698
NoOfWayOfRouToDepAltDepDepAlt,698,701
NoOfWayOfRouToFirstDesAltDesFirstAlt,701,704
NoOfWayOfRouToSecondDesAltDesSecondAlt,704,707
NoOfWayOfRouToThirdDesAltDesThirdAlt,707,710
NoOfWayOfRouToFourthDesAltDesFourthAlt,710,713
NoOfWayOfRouToRecAirDepRecAir,713,716
NoOfWayOfRouToRecAirRecAirRecAlt,716,719
TotNumOfWayInMes,719,722
Sep9,722,732
WayPoints,695,698,732,waypointName,11,altitude,4,estElpTimeOvrWaypnt,4,estFltTimeToNxtWaypnt,3,waypntLon,8,waypntLat,7,estFuelOnBrdOvrWaypnt,6,estTotFuelBurnOvrWaypnt,6,dstToNxtWaypnt,4,outbndTrueTrk,3,moraMea,4,segWndCmptTrk,4,segWndCmptCrs,4,SegTemp,3,SegMachNum,3,Separator,8
EtoPet,#,1
EtoBorTimInMin,#,3
EtoRulTimInMin,#,3
OneEngOutTRUAirSpe1xTasInKno,#,3
MosCriPoiLon,#,8
MosCriPoiLat,#,7
EtoAddFue,#,6
NumOfEtoAre,#,2
EtopsAreas,#,#,#,LabForFirstEntPoiOfEtoAre,6,FirstEntPoiLon,8,FirstEntPoiLat,7,TimFroDepToFirstEtoEntPoiInMin,3,DisFroDepToFirstEtoEntPoiInNm,6,RemFueOnBoaAtFirstEtoEntPoi,6,IcaCodOfSuiAirAtFirstEtoAreEntPoi,4,IatCodOfSuiAirAtFirstEtoAreEntPoi,5,FliTimToSuiAirFroFirstEto,3,SuiAirFroFirstEtoAreEntPoiInMin,3,EstFueIncIciFroFirstEtoAreEntPoiToSuiAir,6,LabForExiPoiOfEtoAre,6,FirstExiPoiLon,8,FirstExiPoiLat,7,TimFroDepToFirstEtoExiPoiInMin,3,DisFroDepToFirstEtoExiPoiInNm,6,RemFueOnBoaAtFirstEtoAreExiPoi,6,IcaCodOfSuiAirAtFirstEtoAreExiPoi,4,IatCodOfSuiAirAtFirstEtoAreExiPoi,5,FliTimToSuiAirFroFirstEtoAreExiPoiInMin,3,EstFueIncIciFroFirstEtoAreExiPoiToSuiInNm,6
NumOfPetIncEntAndExiPoi,#,2
Pets,#,#,#,LabForFirstPet,5,FirstPetLon,8,FirstPetLat,7,FliTimDepToFirstPet,3,DisDepToFirstPet,6,FueOnBoaAtFirstPet,6,FirstPetSuiAirNo1Ica,4,FirstPetSuiAirNo1Iat,5,FliTimFirstPetToSuiAir1InMin,3,FueIncIciPetToSa1,6,CroWinFirstPetAtSa1,4,TraWinFirstPetToSa1,4,CeiFirstPetAtSa1InFt,5,VisFirstPetAtSa1InM,5,FirstPetSuiAirNo2Ica,4,FirstPetSuiAirNo2Iat,5,FliTimFirstPetToSuiAir2InMin,3,FueIncIciPetToSa2,6,CroWinAtSa2,4,TraWinFirstPetToSa2,4,CeiAtSa2InFt,5,VisAtSa2InM,5,FirstPetFliCas,2
NumOfSuiAir,#,2
Suitable_Airports,#,#,#,FirstSuiAirIat ,5,FirstSuiAirIca ,4,FirstAvaFro ,6,FirstAvaTil ,6,FirstWorWxCeiInFt ,5,FirstWorWxVisInM ,5,FirstFroTil ,9
NumOfAdeAirOnlThoWhiHavBeeConByTheCal,#,2
Adequate_Airports,#,#,#,FirstAdeAirIat,5,FirstAdeAirIca,4,NthAdeAirIat,5,NthAdeAirIca,4